Date,Open,trueTomorrow,predictedTomorrow,predictedAction,predicted,residual,stock
2019-06-03,1.269999981,1.220000029,1.290672329,buy,1.315340924,0.045340943,ford
2019-06-04,1.220000029,1.220000029,1.252781187,buy,1.290672329,0.0706723,ford
2019-06-05,1.220000029,1.24000001,1.241073845,buy,1.252781187,0.032781159,ford
2019-06-06,1.24000001,1.230000019,1.250081548,buy,1.241073845,0.001073836,ford
2019-06-07,1.230000019,1.279999971,1.244616024,buy,1.250081548,0.020081529,ford
2019-06-10,1.279999971,1.220000029,1.275399303,sell,1.244616024,-0.035383947,ford
2019-06-11,1.220000029,1.159999967,1.248332563,buy,1.275399303,0.055399274,ford
2019-06-12,1.159999967,1.169999957,1.202218632,buy,1.248332563,0.088332596,ford
2019-06-13,1.169999957,1.139999986,1.195434592,buy,1.202218632,0.032218675,ford
2019-06-14,1.139999986,1.190000057,1.174577109,buy,1.195434592,0.055434606,ford
2019-06-17,1.190000057,1.210000038,1.196772592,buy,1.174577109,-0.015422948,ford
2019-06-18,1.210000038,1.24000001,1.214708018,buy,1.196772592,-0.013227446,ford
2019-06-19,1.24000001,1.169999957,1.23775726,sell,1.214708018,-0.025291991,ford
2019-06-20,1.169999957,1.190000057,1.202620967,buy,1.23775726,0.067757303,ford
2019-06-21,1.190000057,1.190000057,1.205107951,buy,1.202620967,0.012620909,ford
2019-06-24,1.190000057,1.190000057,1.207051243,buy,1.205107951,0.015107893,ford
2019-06-25,1.190000057,1.159999967,1.207020151,buy,1.207051243,0.017051186,ford
2019-06-26,1.159999967,1.179999948,1.187912717,buy,1.207020151,0.047020184,ford
2019-06-27,1.179999948,1.159999967,1.193768554,buy,1.187912717,0.00791277,ford
2019-06-28,1.159999967,1.139999986,1.183453638,buy,1.193768554,0.033768588,ford
2019-07-01,1.139999986,1.159999967,1.167155757,buy,1.183453638,0.043453652,ford
2019-07-02,1.159999967,1.129999995,1.174831067,buy,1.167155757,0.007155791,ford
2019-07-03,1.129999995,1.129999995,1.158035678,buy,1.174831067,0.044831071,ford
2019-07-05,1.129999995,1.149999976,1.150092179,buy,1.158035678,0.028035682,ford
2019-07-08,1.149999976,1.169999957,1.160259824,buy,1.150092179,9.22E-05,ford
2019-07-09,1.169999957,1.169999957,1.176036601,buy,1.160259824,-0.009740133,ford
2019-07-10,1.169999957,1.190000057,1.179632431,buy,1.176036601,0.006036644,ford
2019-07-11,1.190000057,1.200000048,1.192432298,buy,1.179632431,-0.010367626,ford
2019-07-12,1.200000048,1.139999986,1.202473199,buy,1.192432298,-0.007567749,ford
2019-07-15,1.139999986,1.139999986,1.168817616,buy,1.202473199,0.062473214,ford
2019-07-16,1.139999986,1.129999995,1.157460682,buy,1.168817616,0.02881763,ford
2019-07-17,1.129999995,1.110000014,1.14747385,buy,1.157460682,0.027460686,ford
2019-07-18,1.110000014,1.169999957,1.129738469,buy,1.14747385,0.037473836,ford
2019-07-19,1.169999957,1.070000052,1.161515725,sell,1.129738469,-0.040261488,ford
2019-07-22,1.070000052,1.120000005,1.107407527,buy,1.161515725,0.091515673,ford
2019-07-23,1.120000005,1.149999976,1.120905018,buy,1.107407527,-0.012592478,ford
2019-07-24,1.149999976,1.169999957,1.145803194,sell,1.120905018,-0.029094958,ford
2019-07-25,1.169999957,1.110000014,1.16380104,sell,1.145803194,-0.024196763,ford
2019-07-26,1.110000014,1.149999976,1.130270289,buy,1.16380104,0.053801026,ford
2019-07-29,1.149999976,1.139999986,1.145163994,sell,1.130270289,-0.019729687,ford
2019-07-30,1.139999986,1.120000005,1.144689811,buy,1.145163994,0.005164008,ford
2019-07-31,1.120000005,1.139999986,1.131156638,buy,1.144689811,0.024689806,ford
2019-08-01,1.139999986,1.100000024,1.139844267,sell,1.131156638,-0.008843348,ford
2019-08-02,1.100000024,1.080000043,1.117375264,buy,1.139844267,0.039844243,ford
2019-08-05,1.080000043,1.059999943,1.095655472,buy,1.117375264,0.037375221,ford
2019-08-06,1.059999943,1.070000052,1.075211457,buy,1.095655472,0.03565553,ford
2019-08-07,1.070000052,1.120000005,1.074597247,buy,1.075211457,0.005211405,ford
2019-08-08,1.120000005,1.059999943,1.105475727,sell,1.074597247,-0.045402758,ford
2019-08-09,1.059999943,1.090000033,1.077996733,buy,1.105475727,0.045475784,ford
2019-08-12,1.090000033,1.110000014,1.088775812,sell,1.077996733,-0.012003301,ford
2019-08-13,1.110000014,1.100000024,1.105902086,sell,1.088775812,-0.021224202,ford
2019-08-14,1.100000024,1.100000024,1.10405355,buy,1.105902086,0.005902063,ford
2019-08-15,1.100000024,1.100000024,1.102725034,buy,1.10405355,0.004053526,ford
2019-08-16,1.100000024,1.120000005,1.10390589,buy,1.102725034,0.00272501,ford
2019-08-19,1.120000005,1.100000024,1.116459585,sell,1.10390589,-0.016094115,ford
2019-08-20,1.100000024,1.100000024,1.108545412,buy,1.116459585,0.016459561,ford
2019-08-21,1.100000024,1.120000005,1.104974363,buy,1.108545412,0.008545388,ford
2019-08-22,1.120000005,1.070000052,1.116873109,sell,1.104974363,-0.015025642,ford
2019-08-23,1.070000052,1.070000052,1.088106688,buy,1.116873109,0.046873057,ford
2019-08-26,1.070000052,1.070000052,1.077840595,buy,1.088106688,0.018106635,ford
2019-08-27,1.070000052,1.059999943,1.076193209,buy,1.077840595,0.007840543,ford
2019-08-28,1.059999943,1.080000043,1.06744635,buy,1.076193209,0.016193266,ford
2019-08-29,1.080000043,1.090000033,1.077586422,sell,1.06744635,-0.012553693,ford
2019-08-30,1.090000033,1.059999943,1.087559711,sell,1.077586422,-0.012413611,ford
2019-09-03,1.059999943,1.090000033,1.071038121,buy,1.087559711,0.027559768,ford
2019-09-04,1.090000033,1.070000052,1.085303874,sell,1.071038121,-0.018961912,ford
2019-09-05,1.070000052,1.169999957,1.07829533,buy,1.085303874,0.015303822,ford
2019-09-06,1.169999957,1.110000014,1.137922512,sell,1.07829533,-0.091704628,ford
2019-09-09,1.110000014,1.149999976,1.118729991,buy,1.137922512,0.027922498,ford
2019-09-10,1.149999976,1.159999967,1.13785268,sell,1.118729991,-0.031269985,ford
2019-09-11,1.159999967,1.190000057,1.152201142,sell,1.13785268,-0.022147287,ford
2019-09-12,1.190000057,1.149999976,1.177199498,sell,1.152201142,-0.037798915,ford
2019-09-13,1.149999976,1.139999986,1.159365014,buy,1.177199498,0.027199522,ford
2019-09-16,1.139999986,1.110000014,1.146593818,buy,1.159365014,0.019365028,ford
2019-09-17,1.110000014,1.169999957,1.125640872,buy,1.146593818,0.036593803,ford
2019-09-18,1.169999957,1.169999957,1.156374702,sell,1.125640872,-0.044359085,ford
2019-09-19,1.169999957,1.120000005,1.165715524,sell,1.156374702,-0.013625255,ford
2019-09-20,1.120000005,1.149999976,1.133726021,buy,1.165715524,0.045715519,ford
2019-09-23,1.149999976,1.120000005,1.143260321,sell,1.133726021,-0.016273956,ford
2019-09-24,1.120000005,1.129999995,1.127809727,buy,1.143260321,0.023260317,ford
2019-09-25,1.129999995,1.110000014,1.127929548,sell,1.127809727,-0.002190269,ford
2019-09-26,1.110000014,1.120000005,1.11377731,buy,1.127929548,0.017929534,ford
2019-09-27,1.120000005,1,1.11514973,sell,1.11377731,-0.006222694,ford
2019-09-30,1,1.019999981,1.03868837,buy,1.11514973,0.11514973,ford
2019-10-01,1.019999981,1.049999952,1.026877964,buy,1.03868837,0.018688389,ford
2019-10-02,1.049999952,0.980000019,1.043302975,sell,1.026877964,-0.023121989,ford
2019-10-03,0.980000019,1.049999952,1.001942018,buy,1.043302975,0.063302956,ford
