Date,Open,trueTomorrow,predictedTomorrow,predictedAction,predicted,residual,stock
2018-12-18,1.440000057220459,1.399999976158142,1.441475780142678,buy,1.4278732849491966,-0.012126772271262354,forward
2018-12-19,1.399999976158142,1.399999976158142,1.4187640362315708,buy,1.441475780142678,0.041475803984535986,forward
2018-12-20,1.399999976158142,1.350000023841858,1.411162128051122,buy,1.4187640362315708,0.01876406007342868,forward
2018-12-21,1.350000023841858,1.2000000476837158,1.3777681231498717,buy,1.411162128051122,0.061162104209264045,forward
2018-12-24,1.2000000476837158,1.2899999618530271,1.2700962709056005,buy,1.3777681231498717,0.17776807546615592,forward
2018-12-26,1.2899999618530271,1.2300000190734863,1.2919932021035088,buy,1.2700962709056005,-0.01990369094742661,forward
2018-12-27,1.2300000190734863,1.2999999523162842,1.2610975788699255,buy,1.2919932021035088,0.061993183030022436,forward
2018-12-28,1.2999999523162842,1.2899999618530271,1.2916841685771943,sell,1.2610975788699255,-0.03890237344635872,forward
2018-12-31,1.2899999618530271,1.2699999809265137,1.2950116866164736,buy,1.2916841685771943,0.0016842067241671366,forward
2019-01-02,1.2699999809265137,1.3400000333786009,1.2815224601162805,buy,1.2950116866164736,0.025011705689959918,forward
2019-01-03,1.3400000333786009,1.3200000524520874,1.3234027253256904,sell,1.2815224601162805,-0.05847757326232039,forward
2019-01-04,1.3200000524520874,1.3300000429153442,1.3259050687154135,buy,1.3234027253256904,0.0034026728736029632,forward
2019-01-07,1.3300000429153442,1.3700000047683716,1.3329754498269824,buy,1.3259050687154135,-0.004094974199930768,forward
2019-01-08,1.3700000047683716,1.3700000047683716,1.36252438293563,sell,1.3329754498269824,-0.03702455494138923,forward
2019-01-09,1.3700000047683716,1.3799999952316284,1.3722570061683654,buy,1.36252438293563,-0.007475621832741641,forward
2019-01-10,1.3799999952316284,1.399999976158142,1.3813343783219656,buy,1.3722570061683654,-0.007742989063262984,forward
2019-01-11,1.399999976158142,1.4700000286102295,1.3973209540049234,sell,1.3813343783219656,-0.018665597836176495,forward
2019-01-14,1.4700000286102295,1.4900000095367432,1.446751637591256,sell,1.3973209540049234,-0.0726790746053061,forward
2019-01-15,1.4900000095367432,1.4700000286102295,1.475345136059655,sell,1.446751637591256,-0.04324837194548725,forward
2019-01-16,1.4700000286102295,1.4299999475479126,1.470811343193054,buy,1.475345136059655,0.005345107449425512,forward
2019-01-17,1.4299999475479126,1.4600000381469729,1.4445943150255416,buy,1.470811343193054,0.04081139564514147,forward
2019-01-18,1.4600000381469729,1.4500000476837158,1.4587454663382635,sell,1.4445943150255416,-0.015405723121431292,forward
2019-01-22,1.4500000476837158,1.4500000476837158,1.4564546393023596,buy,1.4587454663382635,0.008745418654547699,forward
2019-01-23,1.4500000476837158,1.4500000476837158,1.4549392137262556,buy,1.4564546393023596,0.006454591618643812,forward
2019-01-24,1.4500000476837158,1.4700000286102295,1.453467191590203,buy,1.4549392137262556,0.004939166042539744,forward
2019-01-25,1.4700000286102295,1.4800000190734863,1.4643042908774482,sell,1.453467191590203,-0.016532837020026392,forward
2019-01-28,1.4800000190734863,1.4800000190734863,1.4745042310820686,sell,1.4643042908774482,-0.01569572819603815,forward
2019-01-29,1.4800000190734863,1.4600000381469729,1.4781152996751996,sell,1.4745042310820686,-0.0054957879914177,forward
2019-01-30,1.4600000381469729,1.440000057220459,1.4660015053219264,buy,1.4781152996751996,0.018115261528226734,forward
2019-01-31,1.440000057220459,1.4600000381469729,1.4505703926086426,buy,1.4660015053219264,0.026001448101467428,forward
2019-02-01,1.4600000381469729,1.5099999904632568,1.4586488445599874,sell,1.4505703926086426,-0.009429645538330256,forward
2019-02-04,1.5099999904632568,1.5299999713897705,1.4939126160409715,sell,1.4586488445599874,-0.05135114590326939,forward
2019-02-05,1.5299999713897705,1.5700000524520874,1.516632330417633,sell,1.4939126160409715,-0.03608735534879903,forward
2019-02-06,1.5700000524520874,1.5800000429153442,1.5484277658992343,sell,1.516632330417633,-0.05336772203445439,forward
2019-02-07,1.5800000429153442,1.5499999523162842,1.5656686584154764,sell,1.5484277658992343,-0.031572277016109984,forward
2019-02-08,1.5499999523162842,1.5700000524520874,1.5513668371571434,buy,1.5656686584154764,0.015668706099192242,forward
2019-02-11,1.5700000524520874,1.559999942779541,1.5616448289818234,sell,1.5513668371571434,-0.018633215294943994,forward
2019-02-12,1.559999942779541,1.6599999666213991,1.5609194649590385,buy,1.5616448289818234,0.001644886202282425,forward
2019-02-13,1.6599999666213991,1.690000057220459,1.6252312978108723,sell,1.5609194649590385,-0.0990805016623606,forward
2019-02-14,1.690000057220459,1.6499999761581419,1.6640846437878078,sell,1.6252312978108723,-0.06476875940958671,forward
2019-02-15,1.6499999761581419,1.6399999856948853,1.6474804931216769,sell,1.6640846437878078,0.014084667629665981,forward
2019-02-19,1.6399999856948853,1.6299999952316284,1.634931770298216,sell,1.6474804931216769,0.007480507426791627,forward
2019-02-20,1.6299999952316284,1.6200000047683716,1.6255261209275986,sell,1.634931770298216,0.004931775066587596,forward
2019-02-21,1.6200000047683716,1.6599999666213991,1.6184065123399098,sell,1.6255261209275986,0.005526116159227046,forward
2019-02-22,1.6599999666213991,1.6699999570846558,1.6405422018633948,sell,1.6184065123399098,-0.041593454281489306,forward
2019-02-25,1.6699999570846558,1.6599999666213991,1.6547269033061134,sell,1.6405422018633948,-0.02945775522126093,forward
2019-02-26,1.6599999666213991,1.6599999666213991,1.6499005390538108,sell,1.6547269033061134,-0.005273063315285764,forward
2019-02-27,1.6599999666213991,1.6200000047683716,1.648519636525048,sell,1.6499005390538108,-0.010099427567588304,forward
