,date,stock,buyPrice,numShares,sellPrice,sellDate,profit,cumProfit,groupCumProfit
0,2018-11-19,ford,1.340000033,373.0,1.389999986,2018-11-26 00:00:00,18.650000000000034,18.650000000000034,18.650000000000034
1,2018-11-19,tesla,1.340000033,373.0,1.389999986,2018-11-26 00:00:00,18.650000000000034,37.30000000000007,18.650000000000034
2,2018-11-27,ford,1.370000005,378.0,1.370000005,2018-11-29 00:00:00,0.0,37.30000000000007,18.650000000000034
3,2018-11-27,tesla,1.370000005,378.0,1.370000005,2018-11-29 00:00:00,0.0,37.30000000000007,18.650000000000034
4,2018-11-30,ford,1.360000014,381.0,1.4400000569999998,2018-12-04 00:00:00,30.480000000000018,67.78000000000009,49.13000000000005
5,2018-11-30,tesla,1.360000014,381.0,1.4400000569999998,2018-12-04 00:00:00,30.480000000000018,98.2600000000001,49.13000000000005
6,2018-12-06,ford,1.350000024,406.0,1.419999957,2018-12-07 00:00:00,28.41999999999996,126.68000000000006,77.55000000000001
7,2018-12-06,tesla,1.350000024,406.0,1.419999957,2018-12-07 00:00:00,28.41999999999996,155.10000000000002,77.55000000000001
8,2018-12-11,ford,1.409999967,409.0,1.4400000569999998,2018-12-12 00:00:00,12.269999999999982,167.37,89.82
9,2018-12-11,tesla,1.409999967,409.0,1.4400000569999998,2018-12-12 00:00:00,12.269999999999982,179.64,89.82
10,2018-12-13,ford,1.419999957,415.0,1.299999952,2018-12-28 00:00:00,-49.799999999999955,129.84000000000003,40.02000000000004
11,2018-12-13,tesla,1.419999957,415.0,1.299999952,2018-12-28 00:00:00,-49.799999999999955,80.04000000000008,40.02000000000004
12,2018-12-31,ford,1.289999962,418.0,1.340000033,2019-01-03 00:00:00,20.899999999999977,100.94000000000005,60.920000000000016
13,2018-12-31,tesla,1.289999962,418.0,1.340000033,2019-01-03 00:00:00,20.899999999999977,121.84000000000003,60.920000000000016
14,2019-01-04,ford,1.320000052,424.0,1.370000005,2019-01-08 00:00:00,21.200000000000045,143.04000000000008,82.12000000000006
15,2019-01-04,tesla,1.320000052,424.0,1.370000005,2019-01-08 00:00:00,21.200000000000045,164.24000000000012,82.12000000000006
16,2019-01-09,ford,1.370000005,424.0,1.399999976,2019-01-11 00:00:00,12.720000000000027,176.96000000000015,94.84000000000009
17,2019-01-09,tesla,1.370000005,424.0,1.399999976,2019-01-11 00:00:00,12.720000000000027,189.68000000000018,94.84000000000009
18,2019-01-16,ford,1.4700000290000002,404.0,1.4600000380000002,2019-01-18 00:00:00,-4.039999999999964,185.6400000000002,90.80000000000013
19,2019-01-16,tesla,1.4700000290000002,404.0,1.4600000380000002,2019-01-18 00:00:00,-4.039999999999964,181.60000000000025,90.80000000000013
20,2019-01-22,ford,1.4500000480000002,407.0,1.4700000290000002,2019-01-25 00:00:00,8.139999999999986,189.74000000000024,98.94000000000011
21,2019-01-22,tesla,1.4500000480000002,407.0,1.4700000290000002,2019-01-25 00:00:00,8.139999999999986,197.88000000000022,98.94000000000011
22,2019-01-30,ford,1.4600000380000002,410.0,1.4600000380000002,2019-02-01 00:00:00,0.0,197.88000000000022,98.94000000000011
23,2019-01-30,tesla,1.4600000380000002,410.0,1.4600000380000002,2019-02-01 00:00:00,0.0,197.88000000000022,98.94000000000011
24,2019-02-08,ford,1.5499999519999998,386.0,1.570000052,2019-02-11 00:00:00,7.720000000000027,205.60000000000025,106.66000000000014
