,date,stock,buyPrice,numShares,sellPrice,sellDate,profit,cumProfit
0,2018-11-19,ford,1.340000033,373.0,1.389999986,2018-11-26 00:00:00,18.650000000000034,18.650000000000034
1,2018-11-19,tesla,1.340000033,373.0,1.389999986,2018-11-26 00:00:00,18.650000000000034,37.30000000000007
2,2018-11-27,ford,1.370000005,189.0,1.370000005,2018-11-29 00:00:00,0.0,37.30000000000007
3,2018-11-27,tesla,1.370000005,189.0,1.370000005,2018-11-29 00:00:00,0.0,37.30000000000007
4,2018-11-30,ford,1.360000014,95.0,1.4400000569999998,2018-12-04 00:00:00,7.600000000000023,44.90000000000009
5,2018-11-30,tesla,1.360000014,95.0,1.4400000569999998,2018-12-04 00:00:00,7.600000000000023,52.500000000000114
6,2018-12-06,ford,1.350000024,51.0,1.419999957,2018-12-07 00:00:00,3.5700000000000074,56.07000000000012
7,2018-12-06,tesla,1.350000024,51.0,1.419999957,2018-12-07 00:00:00,3.5700000000000074,59.64000000000013
8,2018-12-11,ford,1.409999967,25.0,1.4400000569999998,2018-12-12 00:00:00,0.75,60.39000000000013
9,2018-12-11,tesla,1.409999967,25.0,1.4400000569999998,2018-12-12 00:00:00,0.75,61.14000000000013
10,2018-12-13,ford,1.419999957,13.0,1.299999952,2018-12-28 00:00:00,-1.5600000000000023,59.580000000000126
11,2018-12-13,tesla,1.419999957,13.0,1.299999952,2018-12-28 00:00:00,-1.5600000000000023,58.020000000000124
12,2018-12-31,ford,1.289999962,7.0,1.340000033,2019-01-03 00:00:00,0.3500000000000014,58.370000000000125
13,2018-12-31,tesla,1.289999962,7.0,1.340000033,2019-01-03 00:00:00,0.3500000000000014,58.72000000000013
14,2019-01-04,ford,1.320000052,3.0,1.370000005,2019-01-08 00:00:00,0.15000000000000036,58.870000000000125
15,2019-01-04,tesla,1.320000052,3.0,1.370000005,2019-01-08 00:00:00,0.15000000000000036,59.020000000000124
16,2019-01-09,ford,1.370000005,2.0,1.399999976,2019-01-11 00:00:00,0.05999999999999961,59.080000000000126
17,2019-01-09,tesla,1.370000005,2.0,1.399999976,2019-01-11 00:00:00,0.05999999999999961,59.14000000000013
18,2019-01-16,ford,1.4700000290000002,1.0,1.4600000380000002,2019-01-18 00:00:00,-0.010000000000000009,59.13000000000013
19,2019-01-16,tesla,1.4700000290000002,1.0,1.4600000380000002,2019-01-18 00:00:00,-0.010000000000000009,59.12000000000013
