,epochs,batch,neuronsLSTM,neuronsDense,learningRate,mseTrain,mseTest
0,2000.0,100.0,80.0,20.0,0.05,0.10993284681337309,0.016782335898272466
1,2000.0,100.0,80.0,20.0,0.005,0.4127143639332949,0.3656821688282261
2,2000.0,100.0,80.0,20.0,0.0005,0.05481747739626192,0.0029111372463165976
3,2000.0,100.0,80.0,20.0,5e-05,0.1867792348258205,0.009518692196513016
4,2000.0,100.0,80.0,20.0,5e-06,0.2805617853146277,0.013119196177329573
5,2000.0,100.0,80.0,40.0,0.05,16.019311454121347,4.252841997926212
6,2000.0,100.0,80.0,40.0,0.005,0.04536764775623747,0.00725559482095353
7,2000.0,100.0,80.0,40.0,0.0005,0.106033713723573,0.02590016160422364
8,2000.0,100.0,80.0,40.0,5e-05,0.15703754649148954,0.01418147847559337
9,2000.0,100.0,80.0,40.0,5e-06,0.21607424322809463,0.013205760697415244
10,2000.0,100.0,80.0,80.0,0.05,15.954383178921786,3.8035380948936273
11,2000.0,100.0,80.0,80.0,0.005,0.4864575360717306,0.505728800168992
12,2000.0,100.0,80.0,80.0,0.0005,0.12638403032272372,0.046078388041165985
13,2000.0,100.0,80.0,80.0,5e-05,0.15530847898699374,0.008099740504015336
14,2000.0,100.0,80.0,80.0,5e-06,0.22460304159614577,0.016509438886850976
15,2000.0,100.0,80.0,100.0,0.05,16.082529451273295,0.11927562009841924
16,2000.0,100.0,80.0,100.0,0.005,0.059114330296152824,0.0032958589163755297
17,2000.0,100.0,80.0,100.0,0.0005,0.05948541452040956,0.0031274138057684293
18,2000.0,100.0,80.0,100.0,5e-05,0.14956863541192172,0.004785471959080364
19,2000.0,100.0,80.0,100.0,5e-06,0.2615049551672955,0.060790894900014866
20,2000.0,100.0,100.0,20.0,0.05,0.4297108337223426,0.0813463507583382
21,2000.0,100.0,100.0,20.0,0.005,0.06650451956185752,0.007943028033475628
22,2000.0,100.0,100.0,20.0,0.0005,0.08437646947065806,0.008181012486884848
23,2000.0,100.0,100.0,20.0,5e-05,0.16656414601361802,0.05253084153433373
24,2000.0,100.0,100.0,20.0,5e-06,0.19384722018272338,0.013523315774071483
25,2000.0,100.0,100.0,40.0,0.05,0.451162486442017,0.24557405690923126
26,2000.0,100.0,100.0,40.0,0.005,0.12750234376002584,0.0473821428378428
27,2000.0,100.0,100.0,40.0,0.0005,0.07717425747972312,0.023354432228914087
28,2000.0,100.0,100.0,40.0,5e-05,0.10552991916576167,0.003681379698620053
29,2000.0,100.0,100.0,40.0,5e-06,0.24634002992314957,0.022470034468228397
30,2000.0,100.0,100.0,80.0,0.05,1.3433605436328884,0.11188134286531096
31,2000.0,100.0,100.0,80.0,0.005,0.4604355316932216,0.49125657909974707
32,2000.0,100.0,100.0,80.0,0.0005,0.06840897383738634,0.00386619670643237
33,2000.0,100.0,100.0,80.0,5e-05,0.1702168613092096,0.028217290466997762
34,2000.0,100.0,100.0,80.0,5e-06,0.2323191307462536,0.028425463119189226
35,2000.0,100.0,100.0,100.0,0.05,16.03473571254897,4.342328795939131
36,2000.0,100.0,100.0,100.0,0.005,0.029870813873399266,0.005975021984392839
37,2000.0,100.0,100.0,100.0,0.0005,0.07742190148276959,0.03019101707827868
38,2000.0,100.0,100.0,100.0,5e-05,0.14660365680908127,0.00967888734079626
39,2000.0,100.0,100.0,100.0,5e-06,0.17604338175185213,0.014427792388391081
