date,stock,buyPrice,numShares,sellPrice,sellDate,profit
2020-03-06,nordstrom,28.30471533,1,22.45999908,2020-03-12 0:00,-5.84
2020-03-12,forward,0.99000001,23,1.029999971,2020-03-17 0:00,0.92
2020-03-18,forward,1.019999981,23,1,2020-03-20 0:00,-0.46
2020-03-20,nordstrom,21.35000038,1,17.71999931,2020-03-23 0:00,-3.63
2020-03-23,forward,0.99000001,20,1.049999952,2020-03-24 0:00,1.2
2020-03-26,forward,1.019999981,20,1.080000043,2020-03-27 0:00,1.2
2020-03-31,forward,1.070000052,20,1.120000005,2020-04-01 0:00,1
2020-04-03,forward,1.100000024,21,1.100000024,2020-04-08 0:00,0
2020-04-08,nordstrom,18.37999916,1,18.75,2020-04-17 0:00,0.37
2020-04-09,forward,1.090000033,4,1.120000005,2020-04-13 0:00,0.12
2020-04-15,forward,1.080000043,4,1.110000014,2020-04-16 0:00,0.12
2020-04-17,forward,1.049999952,22,1.100000024,2020-04-20 0:00,1.1
2020-04-20,nordstrom,18,1,16.5,2020-04-21 0:00,-1.5
2020-04-21,forward,1.059999943,22,1.100000024,2020-04-22 0:00,0.88
2020-04-23,forward,1.049999952,23,1.029999971,2020-04-27 0:00,-0.46
2020-04-29,forward,1.029999971,2,1.059999943,2020-04-30 0:00,0.06
2020-04-29,nordstrom,21.64999962,1,19.79000092,2020-04-30 0:00,-1.86
2020-05-12,forward,1.100000024,20,1.100000024,2020-05-13 0:00,0
2020-05-15,forward,1.080000043,20,1.090000033,2020-05-18 0:00,0.2
2020-05-27,forward,1.159999967,19,1.210000038,2020-05-28 0:00,0.95
2020-05-29,nordstrom,16.84000015,1,16.20000076,2020-06-01 0:00,-0.64
2020-06-10,nordstrom,21.01000023,1,18.28000069,2020-06-12 0:00,-2.73
2020-06-12,forward,1.24000001,16,1.269999981,2020-06-15 0:00,0.48
2020-06-17,nordstrom,19.02000046,1,18,2020-06-18 0:00,-1.02
2020-06-18,forward,1.330000043,14,1.419999957,2020-06-19 0:00,1.26
2020-06-23,forward,1.429999948,14,1.389999986,2020-06-25 0:00,-0.56
2020-06-26,forward,1.379999995,14,1.289999962,2020-06-30 0:00,-1.26
2020-07-16,forward,1.25999999,15,1.279999971,2020-07-17 0:00,0.3
