date,stock,buyPrice,numShares,sellPrice,sellDate,profit,groupCumProfit
2018-11-19,forward,1.3400000333786009,746.0,1.3899999856948853,2018-11-26 00:00:00,37.30000000000007,37.30000000000007
2018-11-26,nordstrom,49.126763014661826,21.0,50.18651296739064,2018-12-04 00:00:00,22.25999999999999,22.25999999999999
2018-11-27,forward,1.3700000047683716,4.0,1.3700000047683716,2018-11-29 00:00:00,0.0,37.30000000000007
2018-11-30,forward,1.3600000143051147,4.0,1.440000057220459,2018-12-04 00:00:00,0.3199999999999994,37.62000000000007
2018-12-06,forward,1.350000023841858,785.0,1.4199999570846558,2018-12-07 00:00:00,54.950000000000045,92.5700000000001
2018-12-07,nordstrom,48.01025321752844,23.0,44.05512882548876,2018-12-20 00:00:00,-90.97000000000003,-68.71000000000004
2018-12-11,forward,1.4099999666213991,7.0,1.440000057220459,2018-12-12 00:00:00,0.21000000000000085,92.78000000000011
2018-12-13,forward,1.4199999570846558,7.0,1.2999999523162842,2018-12-28 00:00:00,-0.8399999999999999,91.94000000000011
2018-12-20,forward,1.399999976158142,724.0,1.2999999523162842,2018-12-28 00:00:00,-0.8399999999999999,91.10000000000011
2018-12-31,forward,1.2899999618530271,7.0,1.3400000333786009,2019-01-03 00:00:00,0.3500000000000014,91.4500000000001
2019-01-04,forward,1.3200000524520874,7.0,1.3700000047683716,2019-01-08 00:00:00,0.34999999999999964,91.8000000000001
2019-01-09,forward,1.3700000047683716,7.0,1.399999976158142,2019-01-11 00:00:00,0.21000000000000085,92.0100000000001
2019-01-16,forward,1.4700000286102295,7.0,1.4600000381469729,2019-01-18 00:00:00,-0.06999999999999851,91.94000000000011
2019-01-22,forward,1.4500000476837158,7.0,1.4700000286102295,2019-01-25 00:00:00,0.1399999999999988,92.08000000000011
2019-01-30,forward,1.4600000381469729,7.0,1.4600000381469729,2019-02-01 00:00:00,0.0,92.08000000000011
2019-02-08,forward,1.5499999523162842,6.0,1.5700000524520874,2019-02-11 00:00:00,0.11999999999999922,92.20000000000012
2019-02-12,forward,1.559999942779541,6.0,1.6599999666213991,2019-02-13 00:00:00,0.6000000000000014,92.80000000000013
2019-02-28,forward,1.6200000047683716,6.0,1.6299999952316284,2019-03-01 00:00:00,0.05999999999999872,92.86000000000013
2019-03-11,forward,1.559999942779541,7.0,1.5499999523162842,2019-03-13 00:00:00,-0.07000000000000028,92.79000000000013
2019-03-15,forward,1.5199999809265137,7.0,1.5299999713897705,2019-03-19 00:00:00,0.07000000000000028,92.86000000000013
2019-03-26,forward,1.4600000381469729,7.0,1.4700000286102295,2019-03-27 00:00:00,0.06999999999999851,92.93000000000012
2019-03-29,forward,1.4800000190734863,7.0,1.5399999618530271,2019-04-03 00:00:00,0.41999999999999993,93.35000000000012
2019-04-08,forward,1.4800000190734863,8.0,1.5299999713897705,2019-04-10 00:00:00,0.40000000000000036,93.75000000000013
2019-04-11,forward,1.4900000095367432,8.0,1.5199999809265137,2019-04-12 00:00:00,0.2400000000000002,93.99000000000012
2019-04-16,forward,1.5399999618530271,8.0,1.6000000238418581,2019-04-17 00:00:00,0.4800000000000004,94.47000000000013
2019-04-23,forward,1.5800000429153442,8.0,1.5299999713897705,2019-04-26 00:00:00,-0.40000000000000036,94.07000000000012
2019-04-29,forward,1.4800000190734863,8.0,1.5199999809265137,2019-04-30 00:00:00,0.3200000000000003,94.39000000000013
2019-05-01,forward,1.5,8.0,1.5,2019-05-06 00:00:00,0.0,94.39000000000013
2019-05-07,forward,1.4800000190734863,8.0,1.5199999809265137,2019-05-08 00:00:00,0.3200000000000003,94.71000000000012
2019-05-09,forward,1.5,8.0,1.4800000190734863,2019-05-14 00:00:00,-0.16000000000000014,94.55000000000013
2019-05-15,forward,1.4500000476837158,9.0,1.2799999713897705,2019-06-10 00:00:00,-1.5300000000000011,93.02000000000012
2019-06-11,forward,1.2200000286102295,9.0,1.2400000095367432,2019-06-19 00:00:00,0.17999999999999972,93.20000000000013
2019-06-20,forward,1.1699999570846558,10.0,1.1699999570846558,2019-07-19 00:00:00,0.0,93.20000000000013
2019-07-22,forward,1.0700000524520874,10.0,1.149999976158142,2019-07-24 00:00:00,0.8000000000000007,94.00000000000013
2019-07-26,forward,1.1100000143051147,11.0,1.149999976158142,2019-07-29 00:00:00,0.4399999999999995,94.44000000000013
2019-07-30,forward,1.1399999856948853,11.0,1.1399999856948853,2019-08-01 00:00:00,0.0,94.44000000000013
2019-08-02,forward,1.100000023841858,11.0,1.1200000047683716,2019-08-08 00:00:00,0.22000000000000064,94.66000000000012
2019-08-09,forward,1.0599999427795408,12.0,1.0900000333786009,2019-08-12 00:00:00,0.35999999999999943,95.02000000000012
2019-08-14,forward,1.100000023841858,12.0,1.1200000047683716,2019-08-19 00:00:00,0.2400000000000002,95.26000000000012
2019-08-20,forward,1.100000023841858,12.0,1.1200000047683716,2019-08-22 00:00:00,0.2400000000000002,95.50000000000011
2019-08-23,forward,1.0700000524520874,13.0,1.0800000429153442,2019-08-29 00:00:00,0.129999999999999,95.63000000000011
2019-09-03,forward,1.0599999427795408,13.0,1.0900000333786009,2019-09-04 00:00:00,0.39000000000000057,96.02000000000011
2019-09-05,forward,1.0700000524520874,13.0,1.1699999570846558,2019-09-06 00:00:00,1.3000000000000007,97.3200000000001
2019-09-09,forward,1.1100000143051147,14.0,1.149999976158142,2019-09-10 00:00:00,0.5600000000000023,97.88000000000011
2019-09-13,forward,1.149999976158142,14.0,1.1699999570846558,2019-09-18 00:00:00,0.2799999999999976,98.16000000000011
