date,profit
2018-11-19,37.30000000000007
2018-11-26,59.56000000000006
2018-11-27,59.56000000000006
2018-11-30,59.88000000000006
2018-12-06,114.8300000000001
2018-12-07,23.86000000000007
2018-12-11,24.07000000000007
2018-12-13,23.23000000000007
2018-12-20,22.39000000000007
2018-12-31,22.740000000000073
2019-01-04,23.090000000000074
2019-01-09,23.300000000000075
2019-01-16,23.230000000000075
2019-01-22,23.370000000000076
2019-01-30,23.370000000000076
2019-02-08,23.490000000000073
2019-02-12,24.090000000000074
2019-02-28,24.150000000000073
2019-03-11,24.080000000000073
2019-03-15,24.150000000000073
2019-03-26,24.22000000000007
2019-03-29,24.64000000000007
2019-04-08,25.04000000000007
2019-04-11,25.280000000000072
2019-04-16,25.760000000000073
2019-04-23,25.36000000000007
2019-04-29,25.68000000000007
2019-05-01,25.68000000000007
2019-05-07,26.00000000000007
2019-05-09,25.84000000000007
2019-05-15,24.31000000000007
2019-06-11,24.49000000000007
2019-06-20,24.49000000000007
2019-07-22,25.29000000000007
2019-07-26,25.730000000000068
2019-07-30,25.730000000000068
2019-08-02,25.950000000000067
2019-08-09,26.310000000000066
2019-08-14,26.550000000000068
2019-08-20,26.79000000000007
2019-08-23,26.92000000000007
2019-09-03,27.31000000000007
2019-09-05,28.61000000000007
2019-09-09,29.170000000000073
2019-09-13,29.45000000000007
2019-09-20,29.870000000000072
2019-09-24,30.02000000000007
2019-09-26,30.170000000000073
2019-09-30,31.020000000000074
2019-10-03,32.28000000000007
2019-10-07,32.47000000000007
2019-10-09,32.85000000000007
2019-10-11,33.65000000000008
2019-10-15,34.65000000000008
2019-10-18,35.49000000000008
2019-10-22,37.79000000000008
2019-10-25,38.510000000000076
2019-11-01,39.510000000000076
2019-11-08,39.010000000000076
2019-11-15,39.010000000000076
2019-11-18,39.010000000000076
2019-11-20,39.260000000000076
2019-12-04,39.760000000000076
2019-12-09,39.260000000000076
2019-12-13,40.30000000000008
2019-12-17,41.860000000000085
2019-12-24,42.42000000000009
2020-01-14,41.92000000000009
2020-02-20,41.67000000000009
2020-02-28,42.51000000000009
2020-03-04,42.80000000000009
2020-03-06,36.96000000000009
2020-03-12,37.880000000000095
2020-03-18,37.420000000000094
2020-03-20,33.79000000000009
2020-03-23,34.990000000000094
2020-03-26,36.1900000000001
2020-03-31,37.1900000000001
2020-04-03,37.1900000000001
2020-04-08,37.5600000000001
2020-04-09,37.6800000000001
2020-04-15,37.8000000000001
2020-04-17,38.90000000000009
2020-04-20,37.40000000000009
2020-04-21,38.280000000000086
2020-04-23,37.82000000000009
2020-04-29,36.020000000000095
2020-05-12,36.020000000000095
2020-05-15,36.2200000000001
2020-05-27,37.1700000000001
2020-05-29,36.5300000000001
2020-06-10,33.8000000000001
2020-06-12,34.2800000000001
2020-06-17,33.260000000000105
2020-06-18,34.5200000000001
2020-06-23,33.96000000000011
2020-06-26,32.7000000000001
2020-07-16,33.0000000000001
2020-07-22,33.3000000000001
2020-07-27,34.0500000000001
2020-07-30,35.850000000000094
2020-08-06,47.2500000000001
2020-08-19,49.6500000000001
2020-08-21,49.6500000000001
2020-08-27,51.950000000000095
2020-09-03,50.990000000000094
2020-09-14,49.990000000000094
2020-09-22,52.0700000000001
2020-09-24,52.8800000000001
2020-09-30,53.150000000000105
2020-10-07,53.96000000000011
2020-10-14,55.21000000000011
2020-10-20,56.02000000000011
2020-10-26,56.56000000000011
2020-10-27,57.10000000000011
2020-10-28,57.31000000000011
2020-10-30,57.85000000000011
2020-11-04,58.39000000000011
2020-11-10,58.66000000000011
2020-11-12,59.60000000000011
