stock,date,buyPrice,numShares,sellPrice,profit
ford,2018-11-19,1.340000033,373.0,1.389999986,18.650000000000034
ford,2018-11-27,2.710000038,751.0,2.759999991,18.650000000000034
ford,2018-11-30,4.070000052,1132.0,4.200000048,49.13000000000005
ford,2018-12-06,5.420000076,1538.0,5.620000005,77.55000000000001
ford,2018-12-11,6.830000043,1947.0,7.060000061999999,89.82
ford,2018-12-13,8.25,2362.0,8.360000013999999,40.02000000000004
ford,2018-12-31,9.539999962,2780.0,9.700000047,60.920000000000016
ford,2019-01-04,10.860000013999999,3204.0,11.070000052,82.12000000000006
ford,2019-01-09,12.230000018999998,3628.0,12.470000028,94.84000000000009
ford,2019-01-16,13.700000047999998,4032.0,13.930000066,90.80000000000013
ford,2019-01-22,15.150000095999998,4439.0,15.400000095,98.94000000000011
ford,2019-01-30,16.610000133999996,4849.0,16.860000133,98.94000000000011
ford,2019-02-08,18.160000085999997,5235.0,18.430000185,106.66000000000014
ford,2019-02-12,19.720000028999998,5623.0,20.090000152,145.4600000000002
ford,2019-02-28,21.340000034,6021.0,21.720000147,149.44000000000023
ford,2019-03-11,22.899999977,6437.0,23.270000099,145.28000000000014
ford,2019-03-15,24.419999958000002,6861.0,24.80000007,149.52000000000015
ford,2019-03-26,25.879999996000002,7305.0,26.270000099,153.9600000000001
ford,2019-03-29,27.360000015,7746.0,27.810000061,180.42000000000013
ford,2019-04-08,28.840000034,8205.0,29.340000032,203.37000000000006
ford,2019-04-11,30.330000044,8677.0,30.860000013,217.53000000000014
ford,2019-04-16,31.870000005999998,9142.0,32.460000037,245.43000000000012
ford,2019-04-23,33.450000048999996,9613.0,33.990000008,221.88000000000017
ford,2019-04-29,34.930000068,10100.0,35.509999989,241.36000000000018
ford,2019-05-01,36.430000068,10594.0,37.009999989,241.36000000000018
ford,2019-05-07,37.910000087,11094.0,38.52999997,261.3600000000002
ford,2019-05-09,39.410000087,11601.0,40.009999989,251.2200000000002
ford,2019-05-15,40.860000135,12119.0,41.28999996,163.16000000000014
ford,2019-06-11,42.080000164,12662.0,42.529999970000006,174.02000000000015
ford,2019-06-20,43.250000121,13238.0,43.69999992700001,174.02000000000015
ford,2019-07-22,44.320000173,13867.0,44.849999903000004,224.3400000000002
ford,2019-07-26,45.430000187,14519.0,45.999999879,250.42000000000013
ford,2019-07-30,46.570000173,15177.0,47.139999865,250.42000000000013
ford,2019-08-02,47.670000197,15859.0,48.25999987,264.0600000000001
ford,2019-08-09,48.73000014,16579.0,49.349999903000004,285.66
ford,2019-08-14,49.830000164000005,17293.0,50.469999908000005,299.94
ford,2019-08-20,50.93000018800001,18020.0,51.58999991300001,314.47999999999996
ford,2019-08-23,52.000000240000006,18781.0,52.669999956000005,322.09
ford,2019-09-03,53.06000018300001,19556.0,53.75999998900001,345.34
ford,2019-09-05,54.130000235000004,20346.0,54.92999994600001,424.34
ford,2019-09-09,55.240000249000005,21178.0,56.079999922000006,457.61999999999995
ford,2019-09-13,56.390000225,22010.0,57.24999987900001,474.26000000000005
ford,2019-09-20,57.51000023,22879.0,58.399999855000004,500.3300000000001
ford,2019-09-24,58.630000235000004,23772.0,59.52999985,509.26000000000016
ford,2019-09-26,59.740000249000005,24681.0,60.649999855000004,518.3500000000001
ford,2019-09-30,60.740000249000005,25699.0,61.699999807000005,569.2500000000002
ford,2019-10-03,61.72000026800001,26790.0,62.749999759000005,645.6200000000001
ford,2019-10-07,62.730000258000004,27924.0,63.76999974,656.9600000000003
ford,2019-10-09,63.750000239,29058.0,64.809999702,679.6400000000001
ford,2019-10-11,64.740000249,30249.0,65.839999673,727.2800000000002
ford,2019-10-15,65.750000239,31464.0,66.89999961599999,788.0300000000002
ford,2019-10-18,66.750000239,32752.0,67.93999957799998,839.5500000000002
ford,2019-10-22,67.730000258,34118.0,69.01999962099998,976.1500000000001
ford,2019-10-25,68.77000022,35537.0,70.08999967299998,1018.72
ford,2019-11-01,69.790000201,37025.0,71.14999961599997,1078.24
