,date,stock,buyPrice,numShares,sellPrice,sellDate,profit,cumProfit
0,2018-11-19,ford,1.340000033,746.0,1.389999986,2018-11-26 00:00:00,37.30000000000007,37.30000000000007
1,2018-11-27,ford,1.370000005,757.0,1.370000005,2018-11-29 00:00:00,0.0,37.30000000000007
2,2018-11-30,ford,1.360000014,762.0,1.4400000569999998,2018-12-04 00:00:00,60.960000000000036,98.2600000000001
3,2018-12-06,ford,1.350000024,813.0,1.419999957,2018-12-07 00:00:00,56.91000000000008,155.1700000000002
4,2018-12-11,ford,1.409999967,819.0,1.4400000569999998,2018-12-12 00:00:00,24.569999999999936,179.74000000000012
5,2018-12-13,ford,1.419999957,830.0,1.299999952,2018-12-28 00:00:00,-99.59999999999991,80.14000000000021
6,2018-12-31,ford,1.289999962,837.0,1.340000033,2019-01-03 00:00:00,41.84999999999991,121.99000000000012
7,2019-01-04,ford,1.320000052,849.0,1.370000005,2019-01-08 00:00:00,42.450000000000045,164.44000000000017
8,2019-01-09,ford,1.370000005,849.0,1.399999976,2019-01-11 00:00:00,25.4699999999998,189.90999999999997
9,2019-01-16,ford,1.4700000290000002,809.0,1.4600000380000002,2019-01-18 00:00:00,-8.089999999999918,181.82000000000005
10,2019-01-22,ford,1.4500000480000002,815.0,1.4700000290000002,2019-01-25 00:00:00,16.299999999999955,198.12
11,2019-01-30,ford,1.4600000380000002,820.0,1.4600000380000002,2019-02-01 00:00:00,0.0,198.12
12,2019-02-08,ford,1.5499999519999998,772.0,1.570000052,2019-02-11 00:00:00,15.440000000000055,213.56000000000006
13,2019-02-12,ford,1.5599999430000002,777.0,1.659999967,2019-02-13 00:00:00,77.70000000000005,291.2600000000001
14,2019-02-28,ford,1.620000005,797.0,1.629999995,2019-03-01 00:00:00,7.9699999999998,299.2299999999999
15,2019-03-11,ford,1.5599999430000002,832.0,1.5499999519999998,2019-03-13 00:00:00,-8.320000000000164,290.90999999999974
16,2019-03-15,ford,1.519999981,849.0,1.5299999709999998,2019-03-19 00:00:00,8.490000000000009,299.39999999999975
17,2019-03-26,ford,1.4600000380000002,889.0,1.4700000290000002,2019-03-27 00:00:00,8.889999999999873,308.2899999999996
18,2019-03-29,ford,1.480000019,883.0,1.5399999619999998,2019-04-03 00:00:00,52.98000000000002,361.26999999999964
19,2019-04-08,ford,1.480000019,919.0,1.5299999709999998,2019-04-10 00:00:00,45.950000000000045,407.2199999999997
20,2019-04-11,ford,1.49000001,944.0,1.519999981,2019-04-12 00:00:00,28.320000000000164,435.53999999999985
21,2019-04-16,ford,1.5399999619999998,932.0,1.600000024,2019-04-17 00:00:00,55.92000000000007,491.4599999999999
22,2019-04-23,ford,1.580000043,943.0,1.5299999709999998,2019-04-26 00:00:00,-47.15000000000009,444.30999999999983
23,2019-04-25,ford,1.480000019,1.0,1.5299999709999998,2019-04-26 00:00:00,-47.15000000000009,397.15999999999974
24,2019-04-29,ford,1.480000019,974.0,1.519999981,2019-04-30 00:00:00,38.960000000000036,436.1199999999998
25,2019-05-01,ford,1.5,987.0,1.5,2019-05-06 00:00:00,0.0,436.1199999999998
26,2019-05-07,ford,1.480000019,1001.0,1.519999981,2019-05-08 00:00:00,40.039999999999964,476.15999999999974
27,2019-05-09,ford,1.5,1014.0,1.480000019,2019-05-14 00:00:00,-20.279999999999973,455.87999999999977
28,2019-05-15,ford,1.4500000480000002,1035.0,1.2799999709999998,2019-06-10 00:00:00,-175.95000000000005,279.9299999999997
29,2019-06-11,ford,1.2200000290000002,1086.0,1.24000001,2019-06-19 00:00:00,21.720000000000027,301.64999999999975
30,2019-06-20,ford,1.169999957,1151.0,1.169999957,2019-07-19 00:00:00,0.0,301.64999999999975
31,2019-07-22,ford,1.070000052,1259.0,1.149999976,2019-07-24 00:00:00,100.7199999999998,402.36999999999955
32,2019-07-26,ford,1.110000014,1304.0,1.149999976,2019-07-29 00:00:00,52.159999999999854,454.5299999999994
33,2019-07-30,ford,1.139999986,1315.0,1.139999986,2019-08-01 00:00:00,0.0,454.5299999999994
34,2019-08-02,ford,1.100000024,1363.0,1.120000005,2019-08-08 00:00:00,27.25999999999999,481.7899999999994
35,2019-08-09,ford,1.059999943,1441.0,1.090000033,2019-08-12 00:00:00,43.23000000000002,525.0199999999994
36,2019-08-14,ford,1.100000024,1427.0,1.120000005,2019-08-19 00:00:00,28.539999999999964,553.5599999999994
37,2019-08-20,ford,1.100000024,1453.0,1.120000005,2019-08-22 00:00:00,29.059999999999945,582.6199999999993
38,2019-08-23,ford,1.070000052,1521.0,1.080000043,2019-08-29 00:00:00,15.210000000000036,597.8299999999994
39,2019-09-03,ford,1.059999943,1550.0,1.090000033,2019-09-04 00:00:00,46.5,644.3299999999994
40,2019-09-05,ford,1.070000052,1579.0,1.169999957,2019-09-06 00:00:00,157.9000000000001,802.2299999999994
41,2019-09-09,ford,1.110000014,1664.0,1.149999976,2019-09-10 00:00:00,66.55999999999995,868.7899999999994
42,2019-09-13,ford,1.149999976,1664.0,1.169999957,2019-09-18 00:00:00,33.2800000000002,902.0699999999996
43,2019-09-20,ford,1.120000005,1739.0,1.149999976,2019-09-23 00:00:00,52.169999999999845,954.2399999999994
44,2019-09-24,ford,1.120000005,1785.0,1.129999995,2019-09-25 00:00:00,17.84999999999991,972.0899999999993
45,2019-09-26,ford,1.110000014,1817.0,1.120000005,2019-09-27 00:00:00,18.170000000000073,990.2599999999994
46,2019-09-30,ford,1.0,2035.0,1.049999952,2019-10-02 00:00:00,101.75,1092.0099999999993
